id,entityid,companyname,displayName,isinactive,subsidiary,subsidiaryId
429,King Textiles - Drawer # 1723,King Textiles - Drawer # 1723,King Textiles - Drawer # 1723,false,Patra Group : Opuzen,2
430,Klabin Redevelopment Assoc LLC,Klabin Redevelopment Assoc LLC dba Airport Business Center,Klabin Redevelopment Assoc LLC dba Airport Business Center,false,Patra Group : Opuzen,2
431,Komar Apparel Supply Co. LLC,Komar Apparel Supply Co. LLC,Komar Apparel Supply Co. LLC,false,Patra Group : Opuzen,2
432,"Koni Hospitality, Inc","Koni Hospitality, Inc","Koni Hospitality, Inc",false,Patra Group : Opuzen,2
433,Koroseal (RJF International Corp),Koroseal (RJF International Corp),Koroseal (RJF International Corp),false,Patra Group : Opuzen,2
4091,Koroseal Interior Products,Koroseal Interior Products,Koroseal Interior Products,false,Patra Group : Opuzen,2
4300,L'Interno,L'Interno,L'Interno,false,Patra Group : Opuzen,2
434,L.A. Courier (Slingshot),L.A. Courier (Slingshot),L.A. Courier (Slingshot),false,Patra Group : Opuzen,2
558,LA DWP - 5786 Venice Blvd,LA DWP - 5786 Venice Blvd,LA DWP - 5786 Venice Blvd,false,Patra Group : Opuzen,2
559,LA DWP - 5788 Venice Blvd,LA DWP - 5788 Venice Blvd,LA DWP - 5788 Venice Blvd,false,Patra Group : Opuzen,2
435,La Paloma Mini Market,La Paloma Mini Market,La Paloma Mini Market,false,Patra Group : Opuzen,2
3821,Lampe Textiles,Lampe Textiles,Lampe Textiles,false,Patra Group : Opuzen,2
436,LAOAX Printing & Delivery Svc,LAOAX Printing & Delivery Svc,LAOAX Printing & Delivery Svc,false,Patra Group : Opuzen,2
437,Laura & Kiran,Laura & Kiran,Laura & Kiran,false,Patra Group : Opuzen,2
4086,Laura Romanoff,Laura Romanoff,Laura Romanoff,false,Patra Group : Opuzen,2
438,Leslie Jee Textiles,Leslie Jee Textiles,Leslie Jee Textiles,false,Patra Group : Opuzen,2
439,Liba Fabrics,Liba Fabrics,Liba Fabrics,false,Patra Group : Opuzen,2
4322,Libas,Libas,Libas,false,Patra Group : Opuzen,2
3844,Libas Limited,Libas Limited,Libas Limited,false,Patra Group : Opuzen,2
3846,Libeco Lagae,Libeco Lagae,Libeco Lagae,false,Patra Group : Opuzen,2
561,Limonta,Limonta,Limonta,false,Patra Group : Opuzen,2
4323,Lindsay & Hall,Lindsay & Hall,Lindsay & Hall,false,Patra Group : Opuzen,2
562,Lindsey & Hall,Lindsey & Hall,Lindsey & Hall,false,Patra Group : Opuzen,2
440,Link 7 GMBH,Link 7 GMBH,Link 7 GMBH,false,Patra Group : Opuzen,2
4298,Lino Textil,Lino Textil,Lino Textil,false,Patra Group : Opuzen,2
441,Lisa Slayman Design,Lisa Slayman Design,Lisa Slayman Design,false,Patra Group : Opuzen,2
442,Los Angeles County Tax Collector,Los Angeles County Tax Collector,Los Angeles County Tax Collector,false,Patra Group : Opuzen,2
560,Los Angeles Mills,Los Angeles Mills,Los Angeles Mills,false,Patra Group : Opuzen,2
443,Los Angeles Times,Los Angeles Times,Los Angeles Times,false,Patra Group : Opuzen,2
563,Luilor Spa,Luilor Spa,Luilor Spa,false,Patra Group : Opuzen,2
124,Lynette Mason,,Lynette Mason,false,Patra Group : Opuzen,2
444,"Maersk Customs Services USA, Inc","Maersk Customs Services USA, Inc","Maersk Customs Services USA, Inc",false,Patra Group : Opuzen,2
445,Mailchimp,Mailchimp,Mailchimp,false,Patra Group : Opuzen,2
125,Manuel Guttierez Garcia,,Manuel Guttierez Garcia,false,Patra Group : Opuzen,2
564,"Marathon HVAC Service , Inc.","Marathon HVAC Service , Inc.","Marathon HVAC Service , Inc.",false,Patra Group : Opuzen,2
3843,Marcovaldo,Marcovaldo,Marcovaldo,false,Patra Group : Opuzen,2
565,Marteks,Marteks,Marteks,false,Patra Group : Opuzen,2
126,Mary A. Bourke,,Mary A. Bourke,false,Patra Group : Opuzen,2
446,Mary Rose - MR Design Lab,Mary Rose - MR Design Lab,Mary Rose - MR Design Lab,false,Patra Group : Opuzen,2
447,Master Fabrics,Master Fabrics,Master Fabrics,false,Patra Group : Opuzen,2
448,"Master Pak, Inc","Master Pak, Inc","Master Pak, Inc",false,Patra Group : Opuzen,2
4324,Mayer Fabrics,Mayer Fabrics,Mayer Fabrics,false,Patra Group : Opuzen,2
449,Media Temple Inc,Media Temple Inc,Media Temple Inc,false,Patra Group : Opuzen,2
450,Medicare Premium Collection Center,Medicare Premium Collection Center,Medicare Premium Collection Center,false,Patra Group : Opuzen,2
451,Mendelson Consulting,Mendelson Consulting,Mendelson Consulting,false,Patra Group : Opuzen,2
452,Mercedes-Benz Financial Services,Mercedes-Benz Financial Services,Mercedes-Benz Financial Services,false,Patra Group : Opuzen,2
566,Merchant's Electric Inc,Merchant's Electric Inc,Merchant's Electric Inc,false,Patra Group : Opuzen,2
567,Milliken & Co.,Milliken & Co.,Milliken & Co.,false,Patra Group : Opuzen,2
4087,Mindclick Group Inc,Mindclick Group Inc,Mindclick Group Inc,false,Patra Group : Opuzen,2
453,Misc Vendor,Misc Vendor,Misc Vendor,false,Patra Group : Opuzen,2
4325,Mitchell,Mitchell,Mitchell,false,Patra Group : Opuzen,2
454,Mitchell Fabrics,Mitchell Fabrics,Mitchell Fabrics,false,Patra Group : Opuzen,2
